Algorithm,Score,Extra Training Data,Paper title,Date,Game
MuZero (Res2 Adam),171673,False,,2021-04-13,riverraid
Advantage Learning,-4.15,False,,,surround
Persistent AL,0.72,False,,,surround
Laser Shared Sweep 50M,18635.3,False,,,alien
Laser Shared Sweep 50M,1838.3,False,,,amidar
Laser Shared Sweep 50M,26027.1,False,,,assault
Laser Shared Sweep 50M,496735,False,,,asterix
Laser Shared Sweep 50M,232651,False,,,asteroids
Laser Shared Sweep 50M,889934,False,,,atlantis
Laser Shared Sweep 50M,1333.1,False,,,bank heist
Laser Shared Sweep 50M,66900,False,,,battle zone
Laser Shared Sweep 50M,80830.5,False,,,beam rider
Laser Shared Sweep 50M,46651.6,False,,,berzerk
Laser Shared Sweep 50M,42.4,False,,,bowling
Laser Shared Sweep 50M,99.8,False,,,boxing
Laser Shared Sweep 50M,852.5,False,,,breakout
Laser Shared Sweep 50M,208008,False,,,centipede
Laser Shared Sweep 50M,24814,False,,,chopper command
Laser Shared Sweep 50M,160494,False,,,crazy climber
Laser Shared Sweep 50M,355447,False,,,defender
Laser Shared Sweep 50M,133557,False,,,demon attack
Laser Shared Sweep 50M,0.1,False,,,double dunk
Laser Shared Sweep 50M,0,False,,,enduro
Laser Shared Sweep 50M,45.4,False,,,fishing derby
Laser Shared Sweep 50M,34,False,,,freeway
Laser Shared Sweep 50M,5297.4,False,,,frostbite
Laser Shared Sweep 50M,86222.2,False,,,gopher
Laser Shared Sweep 50M,1360.5,False,,,gravitar
Laser Shared Sweep 50M,30159.2,False,,,hero
Laser Shared Sweep 50M,20.2,False,,,ice hockey
Laser Shared Sweep 50M,21663,False,,,james bond
Laser Shared Sweep 50M,13932,False,,,kangaroo
Laser Shared Sweep 50M,9559.3,False,,,krull
Laser Shared Sweep 50M,65032,False,,,kung fu master
Laser Shared Sweep 50M,1,False,,,montezuma revenge
Laser Shared Sweep 50M,6089.3,False,,,ms pacman
Laser Shared Sweep 50M,25998.9,False,,,name this game
Laser Shared Sweep 50M,458355,False,,,phoenix
Laser Shared Sweep 50M,-0.2,False,,,pitfall
Laser Shared Sweep 50M,21,False,,,pong
Laser Shared Sweep 50M,100,False,,,private eye
Laser Shared Sweep 50M,20283.8,False,,,qbert
Laser Shared Sweep 50M,24138.1,False,,,riverraid
Laser Shared Sweep 50M,52942,False,,,road runner
Laser Shared Sweep 50M,63.6,False,,,robotank
Laser Shared Sweep 50M,1802.2,False,,,seaquest
Laser Shared Sweep 50M,-8904.8,False,,,skiing
Laser Shared Sweep 50M,2222.4,False,,,solaris
Laser Shared Sweep 50M,36071.4,False,,,space invaders
Laser Shared Sweep 50M,331327,False,,,star gunner
Laser Shared Sweep 50M,9.8,False,,,surround
Laser Shared Sweep 50M,0,False,,,tennis
Laser Shared Sweep 50M,77899,False,,,time pilot
Laser Shared Sweep 50M,251.8,False,,,tutankham
Laser Shared Sweep 50M,341988,False,,,up n down
Laser Shared Sweep 50M,0,False,,,venture
Laser Shared Sweep 50M,513121,False,,,video pinball
Laser Shared Sweep 50M,22280,False,,,wizard of wor
Laser Shared Sweep 50M,145055,False,,,yars revenge
Laser Shared Sweep 50M,50486,False,,,zaxxon
Laser Shared Sweep 200M,18277.3,False,,,alien
Laser Shared Sweep 200M,2695,False,,,amidar
Laser Shared Sweep 200M,40603.2,False,,,assault
Laser Shared Sweep 200M,240770,False,,,asterix
Laser Shared Sweep 200M,257420.1,False,,,asteroids
Laser Shared Sweep 200M,866584,False,,,atlantis
Laser Shared Sweep 200M,1712.8,False,,,bank heist
Laser Shared Sweep 200M,131880,False,,,battle zone
Laser Shared Sweep 200M,125795.2,False,,,beam rider
Laser Shared Sweep 200M,64513.1,False,,,berzerk
Laser Shared Sweep 200M,47.4,False,,,bowling
